agent_count,metric,coverage_target,method,family,description,n_features,accuracy,balanced_accuracy,f1,recall_not_helpful,recall_helpful,coverage,resolved_notes,accuracy_ci95_low,accuracy_ci95_high,coverage_ci95_low,coverage_ci95_high,accuracy_pct,coverage_pct,accuracy_se_pct
24,full,,vote_only,single_addition,Only aggregate Helpful vote share.,1,0.7945736434108527,0.792308618199326,0.774468085106383,0.8507462686567164,0.7338709677419355,1.0,258,0.751937984496124,0.8489341085271318,1.0,1.0,79.45736434108527,100.0,2.4743909191583615
36,full,,vote_plus_quality,single_addition,Vote share plus structured note-quality judgments.,6,0.8217054263565892,0.8223399133365431,0.8188976377952756,0.8059701492537313,0.8387096774193549,1.0,258,0.7750968992248063,0.8683139534883721,1.0,1.0,82.17054263565892,100.0,2.3779860781521904
36,full,,vote_plus_quality_plus_cluster_quality,targeted_combo,Vote share plus structured quality judgments and cluster-level quality statistics.,11,0.8217054263565892,0.8208353394318728,0.8114754098360656,0.8432835820895522,0.7983870967741935,1.0,258,0.7789728682170544,0.8644379844961241,1.0,1.0,82.17054263565892,100.0,2.1802325581395334
36,full,,vote_plus_uncertainty_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus uncertainty, structured quality judgments, and cluster-level quality statistics.",14,0.8178294573643411,0.8192103996148291,0.8185328185328186,0.7835820895522388,0.8548387096774194,1.0,258,0.7635658914728682,0.8565891472868217,1.0,1.0,81.78294573643412,100.0,2.3730422401518734
36,full,,summary_all,full_model,All non-agent summary features.,23,0.813953488372093,0.815779971112181,0.816793893129771,0.7686567164179104,0.8629032258064516,1.0,258,0.7635658914728682,0.8606589147286822,1.0,1.0,81.3953488372093,100.0,2.4768628381585183
36,full,,vote_plus_cluster_quality,single_addition,Vote share plus cluster-level quality statistics.,6,0.810077519379845,0.8108449687048628,0.807843137254902,0.7910447761194029,0.8306451612903226,1.0,258,0.7593992248062016,0.8528100775193799,1.0,1.0,81.0077519379845,100.0,2.3829299161525075
36,full,,vote_plus_confidence_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus confidence, structured quality judgments, and cluster-level quality statistics.",13,0.810077519379845,0.8102431391429947,0.8047808764940239,0.8059701492537313,0.8145161290322581,1.0,258,0.7635658914728682,0.8565891472868217,1.0,1.0,81.0077519379845,100.0,2.3730422401518734
36,full,,vote_only,single_addition,Only aggregate Helpful vote share.,1,0.8023255813953488,0.8021786230139625,0.7951807228915663,0.8059701492537313,0.7983870967741935,1.0,258,0.755717054263566,0.8527131782945736,1.0,1.0,80.23255813953489,100.0,2.474390919158359
36,full,,hybrid_all,full_model,All summary features plus per-agent vote indicators.,59,0.7984496124031008,0.7999518536350505,0.8,0.7611940298507462,0.8387096774193549,1.0,258,0.7518410852713179,0.8410852713178295,1.0,1.0,79.84496124031007,100.0,2.276637399145705
48,full,,summary_all,full_model,All non-agent summary features.,23,0.8217054263565892,0.8223399133365431,0.8188976377952756,0.8059701492537313,0.8387096774193549,1.0,258,0.7790697674418605,0.860562015503876,1.0,1.0,82.17054263565892,100.0,2.0788838791330484
48,full,,vote_plus_cluster_quality,single_addition,Vote share plus cluster-level quality statistics.,6,0.8178294573643411,0.8186085700529611,0.8156862745098039,0.7985074626865671,0.8387096774193549,1.0,258,0.7751937984496124,0.8604651162790697,1.0,1.0,81.78294573643412,100.0,2.175288720139217
48,full,,vote_only,single_addition,Only aggregate Helpful vote share.,1,0.810077519379845,0.8087385652383245,0.7966804979253111,0.8432835820895522,0.7741935483870968,1.0,258,0.7634689922480621,0.8565891472868217,1.0,1.0,81.0077519379845,100.0,2.3755141591520306
48,full,,vote_plus_quality,single_addition,Vote share plus structured note-quality judgments.,6,0.810077519379845,0.8114467982667308,0.8108108108108109,0.7761194029850746,0.8467741935483871,1.0,258,0.7596899224806202,0.8604651162790697,1.0,1.0,81.0077519379845,100.0,2.57079576016453
48,full,,vote_plus_confidence_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus confidence, structured quality judgments, and cluster-level quality statistics.",13,0.810077519379845,0.812349542609533,0.8150943396226416,0.753731343283582,0.8709677419354839,1.0,258,0.7596899224806202,0.8565891472868217,1.0,1.0,81.0077519379845,100.0,2.471919000158201
48,full,,vote_plus_uncertainty_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus uncertainty, structured quality judgments, and cluster-level quality statistics.",14,0.810077519379845,0.8117477130476649,0.8122605363984674,0.7686567164179104,0.8548387096774194,1.0,258,0.7710271317829458,0.8604651162790697,1.0,1.0,81.0077519379845,100.0,2.281581237146019
48,full,,vote_plus_quality_plus_cluster_quality,targeted_combo,Vote share plus structured quality judgments and cluster-level quality statistics.,11,0.8062015503875969,0.8071136254212807,0.8046875,0.7835820895522388,0.8306451612903226,1.0,258,0.7558139534883721,0.8488372093023255,1.0,1.0,80.62015503875969,100.0,2.3730422401518734
48,full,,hybrid_all,full_model,All summary features plus per-agent vote indicators.,71,0.7868217054263565,0.7878550794415022,0.7859922178988327,0.7611940298507462,0.8145161290322581,1.0,258,0.7325581395348837,0.8373062015503877,1.0,1.0,78.68217054263566,100.0,2.672144439171021
12,resolved,0.65,vote_plus_quality,single_addition,Vote share plus structured note-quality judgments.,6,0.9230769230769232,0.9233678901653124,0.9230769230769232,0.9069767441860463,0.9397590361445785,0.6550387596899225,169,0.8778918176630047,0.9629906852960743,0.6084302325581395,0.7093992248062017,92.30769230769232,65.50387596899225,2.1708894804354495
12,resolved,0.65,vote_plus_confidence_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus confidence, structured quality judgments, and cluster-level quality statistics.",13,0.9175824175824177,0.9179050380572672,0.9171270718232044,0.9032258064516128,0.9325842696629212,0.7054263565891473,182,0.8797167098073051,0.9574524372396712,0.6588178294573643,0.7558139534883721,91.75824175824177,70.54263565891473,1.9830542712338295
12,resolved,0.65,vote_plus_quality_plus_cluster_quality,targeted_combo,Vote share plus structured quality judgments and cluster-level quality statistics.,11,0.9116022099447514,0.9114697970163854,0.9080459770114944,0.9148936170212766,0.9080459770114944,0.7015503875968992,181,0.8699227318045862,0.9513513513513514,0.6317829457364341,0.7635658914728682,91.16022099447514,70.15503875968993,2.0772607027236014
