agent_count,metric,coverage_target,method,family,description,n_features,accuracy,balanced_accuracy,f1,recall_not_helpful,recall_helpful,coverage,resolved_notes,accuracy_ci95_low,accuracy_ci95_high,coverage_ci95_low,coverage_ci95_high,delta_accuracy_vs_vote_only,delta_accuracy_vs_summary_all,delta_accuracy_vs_hybrid_all
12,full,,vote_plus_uncertainty,single_addition,"Vote share plus vote-count, margin, and entropy features.",4,0.7674418604651163,0.7652864708714493,0.7457627118644068,0.8208955223880597,0.7096774193548387,1.0,258,0.7093023255813954,0.8255813953488372,1.0,1.0,0.0,-0.03100775193798444,-0.06201550387596899
12,full,,vote_plus_failure,single_addition,Vote share plus explicit failure signals.,4,0.7674418604651163,0.7673928743379874,0.76,0.7686567164179104,0.7661290322580645,1.0,258,0.7247093023255814,0.8178294573643411,1.0,1.0,0.0,-0.03100775193798444,-0.06201550387596899
12,full,,vote_plus_confidence,single_addition,Vote share plus mean confidence and confidence-weighted Helpful share.,3,0.7635658914728682,0.7618560423688012,0.7447698744769874,0.8059701492537313,0.717741935483871,1.0,258,0.7130813953488373,0.8140503875968993,1.0,1.0,-0.003875968992248069,-0.03488372093023251,-0.06589147286821706
12,full,,vote_plus_cluster_disagreement,single_addition,Vote share plus between-cluster disagreement statistics.,5,0.7635658914728682,0.7618560423688012,0.7447698744769874,0.8059701492537313,0.717741935483871,1.0,258,0.7054263565891473,0.813953488372093,1.0,1.0,-0.003875968992248069,-0.03488372093023251,-0.06589147286821706
12,full,,vote_plus_quality_plus_cluster_quality,targeted_combo,Vote share plus structured quality judgments and cluster-level quality statistics.,11,0.8178294573643411,0.8177058257101589,0.8112449799196787,0.8208955223880597,0.8145161290322581,1.0,258,0.7712209302325582,0.8566860465116279,1.0,1.0,0.050387596899224785,0.019379844961240345,-0.011627906976744207
12,full,,vote_plus_confidence_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus confidence, structured quality judgments, and cluster-level quality statistics.",13,0.8178294573643411,0.8177058257101589,0.8112449799196787,0.8208955223880597,0.8145161290322581,1.0,258,0.7751937984496124,0.860562015503876,1.0,1.0,0.050387596899224785,0.019379844961240345,-0.011627906976744207
12,full,,vote_plus_uncertainty_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus uncertainty, structured quality judgments, and cluster-level quality statistics.",14,0.813953488372093,0.8145763119884448,0.8110236220472441,0.7985074626865671,0.8306451612903226,1.0,258,0.7673449612403102,0.8565891472868217,1.0,1.0,0.046511627906976716,0.015503875968992276,-0.015503875968992276
12,resolved,0.65,agent_votes_only,agent_identity,Per-agent binary vote indicators without summary quality features.,12,0.8484848484848485,0.8419811320754718,0.8214285714285714,0.9339622641509434,0.75,0.7674418604651163,198,0.802906045243675,0.8912604019469305,0.7169573643410854,0.8141472868217055,0.004734848484848508,-0.037384716732542844,-0.04536990011850339
12,resolved,0.65,vote_plus_agent_votes,agent_identity,Vote share plus per-agent binary vote indicators.,13,0.8426395939086294,0.836231884057971,0.8143712574850299,0.9333333333333333,0.7391304347826086,0.7635658914728682,197,0.7930778422669853,0.8914119170984456,0.7092054263565892,0.8102713178294574,-0.001110406091370586,-0.04322997130876194,-0.05121515469472249
12,resolved,0.65,cumulative_through_quality,cumulative,Cumulative feature set through quality.,11,0.9285714285714286,0.9285714285714286,0.9302325581395349,0.9047619047619048,0.9523809523809523,0.6511627906976745,168,0.8882673348669077,0.9647211832709963,0.5928294573643411,0.7132751937984497,0.0848214285714286,0.04270186335403725,0.0347166799680767
