sample_id,noteId,tweetId
459,2000594988863037878,2000100749494337961
460,1850857171912667343,1850828580248285509
461,1888021851764363720,1888010410516791357
462,1985413435631325675,1985281498959008139
463,1752073260160651669,1751972513049932011
464,1936010258515660858,1935986105502880016
465,1978570085045354597,1978529715682963548
466,2025090909306528013,2024210927407747291
467,1821720322585813318,1821616750578037134
468,1918830865783705780,1918767794008539512
469,1814253334855065882,1814224984237355424
470,2034961465334026522,2034815733671370823
471,1825849982500651232,1825710067913732246
472,1765940048317518194,1765931041393451368
473,1961754043723723045,1961593895864664155
474,2004708975715950763,2004588903148237119
475,1869361330567643157,1868361079346131232
476,1847916051084038417,1847664407834202113
477,1734512547347186053,1734043722814214653
478,1932766692599562282,1932372604796448836
479,1912235482974437395,1912204953268973586
480,1780711548811718746,1780617490986328310
481,2032142926164476399,2032120505504055742
482,1738333461814084090,1738224060654379080
483,1960121499144085825,1959923234016580079
484,1663304965748584449,1661424434329026561
485,1793212472641339612,1793174400151249194
486,1432109811513106433,1431368291948302347
487,1875514564609241204,1875343484993073328
488,1406611921143484416,1406364125593284611
489,1695846992398680365,1695698939758907409
490,1737826355536908525,1737777566532940025
491,2012928738405515520,2012737400544350217
492,1796590780947275960,1796550745795469559
493,1775048545978007577,1774789194478473670
494,1789967780768330189,1789947177726259674
495,1842267509707153740,1841929008285409627
496,1924058810223636944,1923770177214132320
497,1815850791019647365,1815756657428705332
498,1810221585967792225,1800156233292235229
499,1918053073974641096,1917963517979672758
500,1754842176326922545,1754541093968806306
501,1723818887572066646,1723537178100199777
502,1815077704120848886,1814319302448750748
503,1871379410214854787,1871235571961532711
504,1781655358601146527,1781304594921861313
505,1827733920936546813,1827328493262401829
506,1816197238227689697,1816194171792749052
507,1870078468928495717,1679485139259363332
508,1772717572967821580,1772642551079522511
509,1737409734230118414,1737144539230372041
510,1436021936736325636,1435876868910166018
511,1827277252125499754,1827256388269060299
512,1756526522918158794,1756147147022442794
513,1519673785233903617,1519438518551994369
514,1728173011570745760,1727912750226030889
515,1877430802436247594,1877317960571777524
516,1840212053367128235,1840011222940369392
517,2014554816211779754,2014500251407732746
518,1851482458963001575,1850340215480782980
519,1823666950590918658,1823016865939271722
520,1869453265336975462,1869087703628734707
521,1859632857414762684,1859602071894249838
522,1928766817100497380,1928730976294780994
523,1876692091054747942,1876405801818235122
524,1787192950880887054,1787148667742552521
525,1944241805811495079,1943820079508205846
526,2024193778169360492,2024170573291483417
527,1865350902388768847,1865316519506329821
528,1877829598089527452,1877563013043286455
529,1699492069696229539,1699300890761474242
530,1775477369177870618,1775219239047118883
531,1829127266049122634,1828767254562967555
532,1800555803029483942,1800521969269457050
533,1892725103039045667,1892568249654485306
534,1785524607975563453,1784741732728606850
535,2002437010628514212,2002293885016682612
536,1951452836598087838,1951342165935694212
537,1955518807083974838,1955489082165068000
538,1807770277889118649,1807769925001564355
539,1891819335535956359,1891730838540157389
540,1784286123851751748,1784283827289924048
541,1834651367870255590,1834501191931187403
542,1842907167738757315,1842167118990823595
543,1733902275603542125,1733887297647460584
544,1715646978439143585,1715457893292560739
545,1682818020815642624,1682631153617104902
546,1861060121788317738,1861044143276830884
547,1760675811605250219,1760570503595467260
548,1980974759136645338,1980864600854905309
549,2029798182310531084,2029641907761250472
550,1885316368439943472,1885285142828069093
551,1808406352202453121,1808262932729409648
552,1974493940792361260,1974290932670357840
553,1754664867242398201,1754546910164054265
554,2031464544715809260,2031321440998355239
555,1849107606142337171,1849090717706318099
556,2037906417135263888,2037685841103896837
557,1770525343641731136,1770524201226576158
