year,status_label,primary_topic,population_count,target_sample_count,population_prop,target_sample_prop,abs_prop_diff
2026,Helpful,Outdated information,1347,11,0.0005612626284091392,0.00055,1.1262628409139126e-05
2026,Helpful,Satire,231,2,9.625216567372765e-05,0.0001,3.7478343262723526e-06
2026,Helpful,Unverified claim as fact,557,5,0.00023208855532582816,0.00025,1.7911444674171845e-05
2026,Need More Ratings,Factual error,85188,710,0.03549579865546975,0.0355,4.201344530246898e-06
2026,Need More Ratings,Manipulated media,30881,257,0.01286737284922244,0.01285,1.7372849222440506e-05
2026,Need More Ratings,Missing important context,31980,267,0.013325299819245934,0.01335,2.470018075406699e-05
2026,Need More Ratings,Not misleading,39397,328,0.016415786021852157,0.0164,1.5786021852155774e-05
2026,Need More Ratings,Other,14835,124,0.006181389081254329,0.0062,1.861091874567119e-05
2026,Need More Ratings,Outdated information,10445,87,0.004352181257411625,0.00435,2.1812574116254063e-06
2026,Need More Ratings,Satire,1348,11,0.0005616793044510168,0.00055,1.1679304451016814e-05
2026,Need More Ratings,Unverified claim as fact,4831,40,0.0020129619583107287,0.002,1.296195831072865e-05
2026,Not Helpful,Factual error,3362,28,0.0014008648527925212,0.0014,8.648527925212215e-07
2026,Not Helpful,Manipulated media,880,7,0.00036667491685229585,0.00035,1.667491685229585e-05
2026,Not Helpful,Missing important context,1701,14,0.0007087659472338127,0.0007,8.765947233812751e-06
2026,Not Helpful,Not misleading,3466,29,0.0014441991611477926,0.00145,5.800838852207347e-06
2026,Not Helpful,Other,591,5,0.00024625554074966685,0.00025,3.744459250333153e-06
2026,Not Helpful,Outdated information,480,4,0.00020000450010125228,0.0002,4.500101252275174e-09
2026,Not Helpful,Satire,137,1,5.7084617737232424e-05,5e-05,7.084617737232422e-06
2026,Not Helpful,Unverified claim as fact,306,3,0.00012750286881454834,0.00015,2.2497131185451647e-05
