method,accuracy,balanced_accuracy,resolved_coverage,h_to_nh,nh_to_h,recall_not_helpful,n_not_helpful,recall_needs_more_ratings,n_needs_more_ratings,recall_helpful,n_helpful,accuracy_pct,balanced_accuracy_pct,resolved_coverage_pct,recall_not_helpful_pct,recall_needs_more_ratings_pct,recall_helpful_pct
direct_lr_vote_official_C3.0_none,0.5263157894736842,0.5263157894736842,0.7587719298245614,14,9,0.6578947368421053,76,0.3026315789473684,76,0.618421052631579,76,52.63157894736842,52.63157894736842,75.87719298245614,65.78947368421053,30.263157894736842,61.8421052631579
direct_extra_compact_d2_l6,0.5263157894736842,0.5263157894736842,0.8903508771929824,21,8,0.8421052631578947,76,0.14473684210526316,76,0.5921052631578947,76,52.63157894736842,52.63157894736842,89.03508771929825,84.21052631578947,14.473684210526317,59.210526315789465
direct_extra_compact_d3_l3,0.5263157894736842,0.5263157894736842,0.881578947368421,20,7,0.8157894736842105,76,0.14473684210526316,76,0.618421052631579,76,52.63157894736842,52.63157894736842,88.1578947368421,81.57894736842105,14.473684210526317,61.8421052631579
direct_extra_compact_d3_l6,0.5263157894736842,0.5263157894736842,0.8552631578947368,20,7,0.8026315789473685,76,0.18421052631578946,76,0.5921052631578947,76,52.63157894736842,52.63157894736842,85.52631578947368,80.26315789473685,18.421052631578945,59.210526315789465
direct_rf_full_d2_l3,0.5263157894736842,0.5263157894736842,0.7982456140350878,14,6,0.7763157894736842,76,0.2236842105263158,76,0.5789473684210527,76,52.63157894736842,52.63157894736842,79.82456140350878,77.63157894736842,22.36842105263158,57.89473684210527
direct_lr_vote_C3.0_none,0.5219298245614035,0.5219298245614036,0.881578947368421,21,5,0.8552631578947368,76,0.13157894736842105,76,0.5789473684210527,76,52.19298245614035,52.192982456140356,88.1578947368421,85.52631578947368,13.157894736842104,57.89473684210527
direct_lr_full_C0.03_none,0.5219298245614035,0.5219298245614036,0.6929824561403509,8,5,0.6578947368421053,76,0.32894736842105265,76,0.5789473684210527,76,52.19298245614035,52.192982456140356,69.2982456140351,65.78947368421053,32.89473684210527,57.89473684210527
direct_svc_vote_official_C1.0,0.5219298245614035,0.5219298245614036,0.7543859649122807,12,7,0.6710526315789473,76,0.27631578947368424,76,0.618421052631579,76,52.19298245614035,52.192982456140356,75.43859649122807,67.10526315789474,27.631578947368425,61.8421052631579
direct_lr_compact_C3.0_balanced,0.5219298245614035,0.5219298245614036,0.706140350877193,11,3,0.631578947368421,76,0.3157894736842105,76,0.618421052631579,76,52.19298245614035,52.192982456140356,70.6140350877193,63.1578947368421,31.57894736842105,61.8421052631579
direct_lr_compact_C1.0_balanced,0.5219298245614035,0.5219298245614036,0.7017543859649122,8,9,0.618421052631579,76,0.34210526315789475,76,0.6052631578947368,76,52.19298245614035,52.192982456140356,70.17543859649122,61.8421052631579,34.21052631578947,60.526315789473685
direct_lr_vote_official_C1.0_balanced,0.5219298245614035,0.5219298245614036,0.706140350877193,8,6,0.6578947368421053,76,0.3157894736842105,76,0.5921052631578947,76,52.19298245614035,52.192982456140356,70.6140350877193,65.78947368421053,31.57894736842105,59.210526315789465
direct_rf_full_d3_l3,0.5219298245614035,0.5219298245614036,0.7675438596491229,12,6,0.75,76,0.25,76,0.5657894736842105,76,52.19298245614035,52.192982456140356,76.75438596491229,75.0,25.0,56.57894736842105
direct_extra_full_d3_l6,0.5219298245614035,0.5219298245614036,0.8903508771929824,20,8,0.8289473684210527,76,0.13157894736842105,76,0.6052631578947368,76,52.19298245614035,52.192982456140356,89.03508771929825,82.89473684210526,13.157894736842104,60.526315789473685
direct_extra_full_dNone_l6,0.5219298245614035,0.5219298245614036,0.8070175438596491,16,5,0.7631578947368421,76,0.21052631578947367,76,0.5921052631578947,76,52.19298245614035,52.192982456140356,80.7017543859649,76.31578947368422,21.052631578947366,59.210526315789465
direct_lr_full_C0.1_none,0.5219298245614035,0.5219298245614035,0.6798245614035088,7,5,0.631578947368421,76,0.34210526315789475,76,0.5921052631578947,76,52.19298245614035,52.19298245614035,67.98245614035088,63.1578947368421,34.21052631578947,59.210526315789465
direct_lr_compact_C0.3_balanced,0.5219298245614035,0.5219298245614035,0.7017543859649122,10,7,0.5921052631578947,76,0.34210526315789475,76,0.631578947368421,76,52.19298245614035,52.19298245614035,70.17543859649122,59.210526315789465,34.21052631578947,63.1578947368421
direct_lr_compact_C1.0_none,0.5175438596491229,0.5175438596491229,0.7017543859649122,7,5,0.6842105263157895,76,0.3026315789473684,76,0.5657894736842105,76,51.75438596491229,51.75438596491229,70.17543859649122,68.42105263157895,30.263157894736842,56.57894736842105
direct_lr_vote_official_C0.3_none,0.5175438596491229,0.5175438596491229,0.7105263157894737,10,8,0.618421052631579,76,0.32894736842105265,76,0.6052631578947368,76,51.75438596491229,51.75438596491229,71.05263157894737,61.8421052631579,32.89473684210527,60.526315789473685
direct_lr_vote_official_C0.1_balanced,0.5175438596491229,0.5175438596491229,0.7456140350877193,11,9,0.6447368421052632,76,0.2894736842105263,76,0.618421052631579,76,51.75438596491229,51.75438596491229,74.56140350877193,64.47368421052632,28.947368421052634,61.8421052631579
twostage_full_cn0.1_ch1.0_tn0.48_th0.6,0.5175438596491229,0.5175438596491229,0.4956140350877193,3,2,0.47368421052631576,76,0.5657894736842105,76,0.5131578947368421,76,51.75438596491229,51.75438596491229,49.56140350877193,47.368421052631575,56.57894736842105,51.31578947368421
